Week,public_road_mileage
2002-10-28,3978131.3846153845
2002-11-04,3978485.346153846
2002-11-11,3978839.3076923075
2002-11-18,3979193.269230769
2002-11-25,3979547.230769231
2002-12-02,3979901.1923076925
2002-12-09,3980255.153846154
2002-12-16,3980609.1153846155
2002-12-23,3980963.076923077
2002-12-30,3981317.0384615385
2003-01-06,3981671.0
2003-01-13,3981848.4615384615
2003-01-20,3982025.923076923
2003-01-27,3982203.3846153845
2003-02-03,3982380.846153846
2003-02-10,3982558.3076923075
2003-02-17,3982735.769230769
2003-02-24,3982913.230769231
2003-03-03,3983090.6923076925
2003-03-10,3983268.153846154
2003-03-17,3983445.6153846155
2003-03-24,3983623.076923077
2003-03-31,3983800.5384615385
2003-04-07,3983978.0
2003-04-14,3984155.4615384615
2003-04-21,3984332.923076923
2003-04-28,3984510.3846153845
2003-05-05,3984687.846153846
2003-05-12,3984865.3076923075
2003-05-19,3985042.769230769
2003-05-26,3985220.230769231
2003-06-02,3985397.6923076925
2003-06-09,3985575.153846154
2003-06-16,3985752.6153846155
2003-06-23,3985930.076923077
2003-06-30,3986107.5384615385
2003-07-07,3986285.0
2003-07-14,3986462.4615384615
2003-07-21,3986639.923076923
2003-07-28,3986817.3846153845
2003-08-04,3986994.846153846
2003-08-11,3987172.3076923075
2003-08-18,3987349.769230769
2003-08-25,3987527.230769231
2003-09-01,3987704.6923076925
2003-09-08,3987882.153846154
2003-09-15,3988059.6153846155
2003-09-22,3988237.076923077
2003-09-29,3988414.5384615385
2003-10-06,3988592.0
2003-10-13,3988769.4615384615
2003-10-20,3988946.923076923
2003-10-27,3989124.3846153845
2003-11-03,3989301.846153846
2003-11-10,3989479.3076923075
2003-11-17,3989656.769230769
2003-11-24,3989834.230769231
2003-12-01,3990011.6923076925
2003-12-08,3990189.153846154
2003-12-15,3990366.6153846155
2003-12-22,3990544.076923077
2003-12-29,3990721.5384615385
2004-01-05,3990899.0
2004-01-12,3991025.096153846
2004-01-19,3991151.1923076925
2004-01-26,3991277.2884615385
2004-02-02,3991403.3846153845
2004-02-09,3991529.480769231
2004-02-16,3991655.576923077
2004-02-23,3991781.673076923
2004-03-01,3991907.769230769
2004-03-08,3992033.8653846155
2004-03-15,3992159.9615384615
2004-03-22,3992286.0576923075
2004-03-29,3992412.153846154
2004-04-05,3992538.25
2004-04-12,3992664.346153846
2004-04-19,3992790.4423076925
2004-04-26,3992916.5384615385
2004-05-03,3993042.6346153845
2004-05-10,3993168.730769231
2004-05-17,3993294.826923077
2004-05-24,3993420.923076923
2004-05-31,3993547.019230769
2004-06-07,3993673.1153846155
2004-06-14,3993799.2115384615
2004-06-21,3993925.3076923075
2004-06-28,3994051.403846154
2004-07-05,3994177.5
2004-07-12,3994303.596153846
2004-07-19,3994429.6923076925
2004-07-26,3994555.7884615385
2004-08-02,3994681.8846153845
2004-08-09,3994807.980769231
2004-08-16,3994934.076923077
2004-08-23,3995060.173076923
2004-08-30,3995186.269230769
2004-09-06,3995312.3653846155
2004-09-13,3995438.4615384615
2004-09-20,3995564.5576923075
2004-09-27,3995690.653846154
2004-10-04,3995816.75
2004-10-11,3995942.846153846
2004-10-18,3996068.9423076925
2004-10-25,3996195.0384615385
2004-11-01,3996321.1346153845
2004-11-08,3996447.230769231
2004-11-15,3996573.326923077
2004-11-22,3996699.423076923
2004-11-29,3996825.519230769
2004-12-06,3996951.6153846155
2004-12-13,3997077.7115384615
2004-12-20,3997203.8076923075
2004-12-27,3997329.903846154
2005-01-04,3997456.0
2005-01-11,3997728.5384615385
2005-01-18,3998001.076923077
2005-01-25,3998273.6153846155
2005-02-01,3998546.153846154
2005-02-08,3998818.6923076925
2005-02-15,3999091.230769231
2005-02-22,3999363.769230769
2005-03-01,3999636.3076923075
2005-03-08,3999908.846153846
2005-03-15,4000181.3846153845
2005-03-22,4000453.923076923
2005-03-29,4000726.4615384615
2005-04-05,4000999.0
2005-04-12,4001271.5384615385
2005-04-19,4001544.076923077
2005-04-26,4001816.6153846155
2005-05-03,4002089.153846154
2005-05-10,4002361.6923076925
2005-05-17,4002634.230769231
2005-05-24,4002906.769230769
2005-05-31,4003179.3076923075
2005-06-07,4003451.846153846
2005-06-14,4003724.3846153845
2005-06-21,4003996.923076923
2005-06-28,4004269.4615384615
2005-07-05,4004542.0
2005-07-12,4004814.5384615385
2005-07-19,4005087.076923077
2005-07-26,4005359.6153846155
2005-08-02,4005632.153846154
2005-08-09,4005904.6923076925
2005-08-16,4006177.230769231
2005-08-23,4006449.769230769
2005-08-30,4006722.3076923075
2005-09-06,4006994.846153846
2005-09-13,4007267.3846153845
2005-09-20,4007539.923076923
2005-09-27,4007812.4615384615
2005-10-04,4008085.0
2005-10-11,4008357.5384615385
2005-10-18,4008630.076923077
2005-10-25,4008902.6153846155
2005-11-01,4009175.153846154
2005-11-08,4009447.6923076925
2005-11-15,4009720.230769231
