Week,urban_pop
1991-01-21,188102389.30769232
1991-01-28,188170524.46153846
1991-02-04,188238659.6153846
1991-02-11,188306794.76923078
1991-02-18,188374929.92307693
1991-02-25,188443065.07692307
1991-03-04,188511200.23076922
1991-03-11,188579335.3846154
1991-03-18,188647470.53846154
1991-03-25,188715605.69230768
1991-04-01,188783740.84615386
1991-04-08,188851876.0
1991-04-15,188920011.15384614
1991-04-22,188988146.30769232
1991-04-29,189056281.46153846
1991-05-06,189124416.6153846
1991-05-13,189192551.76923078
1991-05-20,189260686.92307693
1991-05-27,189328822.07692307
1991-06-03,189396957.23076922
1991-06-10,189465092.3846154
1991-06-17,189533227.53846154
1991-06-24,189601362.69230768
1991-07-01,189669497.84615386
1991-07-08,189737633.0
1991-07-15,189805768.15384614
1991-07-22,189873903.30769232
1991-07-29,189942038.46153846
1991-08-05,190010173.6153846
1991-08-12,190078308.76923078
1991-08-19,190146443.92307693
1991-08-26,190214579.07692307
1991-09-02,190282714.23076922
1991-09-09,190350849.3846154
1991-09-16,190418984.53846154
1991-09-23,190487119.69230768
1991-09-30,190555254.84615386
1991-10-07,190623390.0
1991-10-14,190691525.15384614
1991-10-21,190759660.30769232
1991-10-28,190827795.46153846
1991-11-04,190895930.6153846
1991-11-11,190964065.76923078
1991-11-18,191032200.92307693
1991-11-25,191100336.07692307
1991-12-02,191168471.23076922
1991-12-09,191236606.3846154
1991-12-16,191304741.53846154
1991-12-23,191372876.69230768
1991-12-30,191441011.84615386
1992-01-06,191509147.0
1992-01-13,191580114.53846154
1992-01-20,191651082.07692307
1992-01-27,191722049.6153846
1992-02-03,191793017.15384614
1992-02-10,191863984.69230768
1992-02-17,191934952.23076922
1992-02-24,192005919.76923078
1992-03-02,192076887.30769232
1992-03-09,192147854.84615386
1992-03-16,192218822.3846154
1992-03-23,192289789.92307693
1992-03-30,192360757.46153846
1992-04-06,192431725.0
1992-04-13,192502692.53846154
1992-04-20,192573660.07692307
1992-04-27,192644627.6153846
1992-05-04,192715595.15384614
1992-05-11,192786562.69230768
1992-05-18,192857530.23076922
1992-05-25,192928497.76923078
1992-06-01,192999465.30769232
1992-06-08,193070432.84615386
1992-06-15,193141400.3846154
1992-06-22,193212367.92307693
1992-06-29,193283335.46153846
1992-07-06,193354303.0
1992-07-13,193425270.53846154
