Date,Open,High,Low,Close,Volume
05/25/2012,412.29,413.91,406.48,406.48,0
05/18/2012,404.27,416.13,404.27,416.13,0
05/11/2012,398.57,402.9,398.57,401.71,0
05/04/2012,389.59,395.48,385.24,393.77,0
04/27/2012,391.04,391.04,380.8,385.15,0
04/20/2012,396.42,397.87,391.89,394.03,0
04/13/2012,395.14,399.83,390.1,396.16,0
04/05/2012,398.63,398.63,392.92,395.31,0
03/30/2012,413.31,416.3,396.42,396.42,0
03/23/2012,416.89,416.98,413.31,413.31,0
03/16/2012,424.81,425.94,418.77,418.77,0
03/09/2012,438.23,438.23,425.15,425.15,0
03/02/2012,438.99,446.93,437.8,443.52,0
02/24/2012,447.53,447.61,441.98,441.98,0
02/17/2012,437.29,446.76,437.29,446.76,0
02/10/2012,435.15,439.59,432.76,432.76,0
02/03/2012,436.01,441.04,434.81,434.81,0
01/27/2012,437.46,440.87,437.03,438.4,0
01/20/2012,432.76,436.18,432.25,435.92,0
01/13/2012,412.39,431.4,412.39,431.4,0
01/06/2012,414.85,415.1,410.67,410.67,0
12/30/2011,420.48,420.48,414.51,414.51,0
12/23/2011,414.68,424.32,411.09,424.32,0
12/16/2011,404.95,406.66,404.44,404.44,0
12/09/2011,410.41,410.41,404.27,404.27,0
12/02/2011,418.26,422.27,417.92,420.65,0
11/25/2011,415.7,420.82,415.7,417.41,0
11/18/2011,417.15,424.23,415.61,415.61,0
11/11/2011,422.44,422.44,418.86,418.86,0
11/04/2011,404.78,424.91,404.78,424.91,0
10/28/2011,419.37,419.37,406.31,406.31,0
10/21/2011,422.01,422.01,415.7,416.89,0
10/14/2011,410.75,420.48,410.75,420.48,0
10/07/2011,420.9,420.9,414.85,415.87,0
09/30/2011,408.62,418.6,408.62,418.6,0
09/23/2011,402.56,406.83,395.48,398.38,0
09/16/2011,406.13,412.63,405.97,405.97,0
09/09/2011,399.23,405.7,399.23,403.99,0
09/02/2011,391.13,391.81,387.71,391.81,0
08/26/2011,394.88,394.88,388.82,393.17,0
08/19/2011,409.9,410.15,393.86,394.2,0
08/12/2011,401.37,411.09,400.85,411.09,0
08/05/2011,402.05,404.78,401.62,404.78,0
07/29/2011,392.15,400.43,392.15,400.43,0
07/22/2011,395.39,397.18,393.52,393.86,0
07/15/2011,399.59,404.78,398.81,398.81,0
07/08/2011,386.86,395.09,385.49,395.09,0
07/01/2011,380.12,385.15,378.41,385.15,0
06/24/2011,382.17,387.37,381.23,387.37,0
06/17/2011,355.03,376.11,355.03,376.11,0
06/10/2011,352.64,359.81,352.64,353.16,0
06/03/2011,359.64,359.64,353.84,358.7,0
05/27/2011,355.29,359.13,354.61,358.53,0
05/20/2011,374.57,374.57,365.53,365.53,0
05/13/2011,374.57,380.29,374.57,377.3,0
05/06/2011,382.08,382.08,374.57,376.09,0
04/29/2011,384.98,387.54,383.28,386.86,0
04/21/2011,395.22,399.91,393.26,393.26,0
04/15/2011,398.98,398.98,393.52,393.52,0
04/08/2011,412.63,412.63,399.15,399.15,0
04/01/2011,399.23,413.82,399.23,413.82,0
03/25/2011,387.97,401.88,386.86,401.88,0
03/18/2011,398.12,398.12,377.64,381.57,0
03/11/2011,388.5,400.96,388.5,399.15,0
03/04/2011,385.32,389.76,380.2,389.25,0
02/25/2011,387.88,389.42,387.88,389.42,0
02/18/2011,388.65,393,388.31,393,0
02/11/2011,381.4,385.92,379.69,384.64,0
02/04/2011,389.25,391.3,385.75,385.75,0
01/28/2011,381.14,384.9,379.35,384.9,0
01/21/2011,388.23,388.23,384.56,384.56,0
01/14/2011,371.16,390.61,371.16,388.23,0
01/07/2011,365.1,365.9,362.37,365.9,0
12/31/2010,368.43,369.8,366.3,369.8,0
12/23/2010,359.13,367.15,359.13,367.15,0
12/17/2010,358.19,358.19,353.33,356.66,0
12/10/2010,363.23,363.23,354.78,354.78,0
12/03/2010,361.01,364.42,361.01,363.05,0
11/26/2010,357,362.54,357,362.54,0
11/19/2010,350.94,358.45,348.46,358.45,0
11/12/2010,341.23,351.11,341.23,347.1,0
11/05/2010,334.98,335.84,333.28,335.84,0
10/29/2010,343.52,343.52,337.29,337.29,0
10/22/2010,343.77,347.1,343.77,347.1,0
10/15/2010,337.03,341.72,335.41,341.72,0
10/08/2010,332.08,337.46,331.31,337.46,0
10/01/2010,338.91,339.93,335.67,335.67,0
09/24/2010,343.34,343.34,334.9,334.9,0
09/17/2010,340.58,347.95,340.58,347.95,0
09/10/2010,328.84,337.35,328.84,337.35,0
09/03/2010,334.64,336.01,332,336.01,0
08/27/2010,340.44,340.44,334.81,334.81,0
08/20/2010,328.24,338.74,327.47,338.74,0
08/13/2010,325.85,325.85,324.49,324.49,0
08/06/2010,322.27,328.58,321.59,325.94,0
07/30/2010,320.05,322.87,319.03,322.87,0
07/23/2010,322.18,323.98,322.18,323.29,0
07/16/2010,310.14,319.54,310.14,319.54,0
07/09/2010,306.48,311.08,306.48,309.49,0
07/02/2010,306.06,307.25,302.9,305.38,0
06/25/2010,304.86,305.03,302.05,305.03,0
